Date,Close,prediction,prediction_scaled,signal,order,order_cash,holdings,Cash,portfolio_value,signal_2,order_2,holdings_2,Cash_2,portfolio_value_2
2024-01-24 05:00:00,840.5623168945312,0,0,1,0,10,10,93013.58337402344,101419.20654296875,1,0,10,93299.6875,101705.31066894531
2024-01-25 05:00:00,862.158935546875,0,0,1,0,10,10,93013.58337402344,101635.17272949219,1,0,10,93299.6875,101921.27685546875
2024-01-26 05:00:00,860.8395385742188,0,0,1,0,10,10,93013.58337402344,101621.97875976562,1,0,10,93299.6875,101908.08288574219
2024-01-29 05:00:00,875.5911254882812,0,0,1,0,10,10,93013.58337402344,101769.49462890625,1,0,10,93299.6875,102055.59875488281
2024-01-30 05:00:00,861.1173095703125,0,0,1,0,10,10,93013.58337402344,101624.75646972656,1,0,10,93299.6875,101910.86059570312
2024-01-31 05:00:00,862.89306640625,0,0,1,0,10,10,93013.58337402344,101642.51403808594,1,0,10,93299.6875,101928.6181640625
2024-02-01 05:00:00,883.4480590820312,0,0,1,0,10,10,93013.58337402344,101848.06396484375,1,0,10,93299.6875,102134.16809082031
2024-02-02 05:00:00,883.567138671875,0,0,1,0,10,10,93013.58337402344,101849.25476074219,1,0,10,93299.6875,102135.35888671875
2024-02-05 05:00:00,892.9443359375,0,0,1,0,10,10,93013.58337402344,101943.02673339844,1,0,10,93299.6875,102229.130859375
2024-02-06 05:00:00,899.2548217773438,0,0,1,0,10,10,93013.58337402344,102006.13159179688,1,0,10,93299.6875,102292.23571777344
2024-02-07 05:00:00,916.4867553710938,0,0,1,0,10,10,93013.58337402344,102178.45092773438,1,0,10,93299.6875,102464.55505371094
2024-02-08 05:00:00,917.1923828125,0,0,1,0,10,10,93013.58337402344,102185.50720214844,1,0,10,93299.6875,102471.611328125
2024-02-09 05:00:00,943.6863403320312,0,0,1,0,10,10,93013.58337402344,102450.44677734375,1,0,10,93299.6875,102736.55090332031
2024-02-12 05:00:00,923.42333984375,0,0,1,0,10,10,93013.58337402344,102247.81677246094,1,0,10,93299.6875,102533.9208984375
